iter	Passed	Remaining
0	1	186
1	3	168
2	4	145
3	5	142
4	8	152
5	9	141
6	9	132
7	11	129
8	12	123
9	13	117
10	13	112
11	14	107
12	15	102
13	16	98
14	16	96
15	17	92
16	18	90
17	19	87
18	19	84
19	20	81
20	21	80
21	22	78
22	22	76
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	28	67
30	29	65
31	30	63
32	30	62
33	31	60
34	31	59
35	32	57
36	33	56
37	33	55
38	34	53
39	35	52
40	35	51
41	36	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	49	29
63	50	28
64	51	27
65	51	26
66	52	25
67	53	25
68	54	24
69	54	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	64	10
86	65	9
87	66	9
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
