iter	Passed	Remaining
0	138	138017
1	139	69625
2	141	46997
3	144	35982
4	145	28956
5	146	24276
6	150	21284
7	151	18774
8	152	16823
9	154	15281
10	155	13996
11	158	13082
12	160	12159
13	161	11365
14	165	10849
15	166	10233
16	167	9710
17	169	9222
18	170	8777
19	172	8475
20	177	8253
21	178	7928
22	179	7628
23	180	7337
24	181	7075
25	182	6837
26	183	6612
27	184	6397
28	185	6200
29	189	6119
30	190	5948
31	191	5786
32	193	5657
33	194	5515
34	195	5380
35	196	5250
36	196	5126
37	197	5009
38	198	4896
39	199	4790
40	204	4781
41	205	4686
42	207	4610
43	208	4526
44	209	4440
45	209	4353
46	210	4269
47	211	4190
48	212	4115
49	212	4042
50	213	3971
51	214	3902
52	216	3875
53	217	3815
54	218	3753
55	219	3693
56	219	3636
57	220	3580
58	221	3536
59	222	3487
60	223	3439
61	224	3390
62	224	3341
63	225	3295
64	225	3250
65	226	3206
66	227	3164
67	227	3123
68	228	3086
69	231	3073
70	232	3038
71	233	3006
72	233	2971
73	234	2936
74	235	2910
75	236	2879
76	237	2847
77	238	2814
78	238	2783
79	239	2753
80	240	2725
81	240	2696
82	241	2664
83	242	2640
84	243	2616
85	245	2610
86	246	2586
87	247	2560
88	247	2535
89	248	2512
90	249	2487
91	249	2464
92	250	2446
93	251	2427
94	252	2406
95	253	2384
96	253	2363
97	254	2343
98	255	2325
99	256	2307
100	257	2288
101	257	2269
102	259	2258
103	260	2242
104	260	2223
105	261	2205
106	262	2187
107	262	2170
108	263	2153
109	264	2141
110	265	2126
111	266	2111
112	266	2095
113	267	2079
114	268	2066
115	269	2051
116	269	2035
117	270	2021
118	271	2007
119	271	1992
120	272	1978
121	274	1977
122	275	1963
123	276	1950
124	276	1936
125	277	1923
126	277	1910
127	279	1901
128	280	1891
129	280	1879
130	281	1867
131	282	1855
132	283	1847
133	284	1839
134	285	1829
135	286	1819
136	287	1809
137	289	1810
138	291	1803
139	292	1796
140	294	1791
141	294	1781
142	295	1773
143	296	1765
144	297	1755
145	298	1746
146	299	1737
147	300	1729
148	301	1720
149	302	1711
150	304	1713
151	305	1705
152	306	1696
153	307	1688
154	308	1680
155	309	1676
156	311	1671
157	312	1665
158	313	1658
159	314	1651
160	315	1643
161	316	1636
162	317	1629
163	320	1634
164	322	1633
165	324	1627
166	324	1620
167	326	1615
168	327	1609
169	328	1603
170	329	1597
171	330	1591
172	331	1585
173	334	1585
174	335	1580
175	336	1576
176	338	1572
177	339	1568
178	340	1562
179	341	1556
180	342	1551
181	343	1545
182	344	1539
183	345	1533
184	346	1527
185	349	1528
186	350	1522
187	351	1516
188	352	1512
189	353	1507
190	354	1502
191	355	1497
192	356	1492
193	357	1487
194	359	1482
195	360	1476
196	361	1471
197	362	1467
198	364	1468
199	366	1465
200	367	1461
201	368	1457
202	370	1453
203	371	1448
204	372	1445
205	373	1440
206	375	1437
207	376	1432
208	376	1426
209	379	1428
210	381	1424
211	381	1419
212	382	1414
213	383	1409
214	384	1404
215	385	1399
216	386	1394
217	387	1388
218	387	1383
219	388	1378
220	389	1373
221	390	1368
222	391	1363
223	392	1359
224	394	1360
225	396	1356
226	397	1352
227	398	1347
228	399	1343
229	399	1338
230	400	1334
231	401	1329
232	402	1325
233	403	1320
234	404	1316
235	405	1311
236	406	1307
237	406	1302
238	409	1304
239	410	1300
240	411	1296
241	412	1292
242	413	1288
243	414	1284
244	415	1279
245	416	1275
246	416	1271
247	418	1268
248	419	1265
249	420	1261
250	422	1261
251	423	1258
252	424	1254
253	425	1250
254	426	1246
255	427	1243
256	429	1240
257	430	1237
258	431	1233
259	431	1228
260	432	1223
261	432	1219
262	433	1215
263	434	1211
264	435	1206
265	437	1208
266	438	1205
267	439	1201
268	440	1197
269	441	1193
270	442	1189
271	442	1185
272	443	1180
273	444	1176
274	444	1172
275	445	1168
276	446	1164
277	446	1160
278	448	1158
279	449	1154
280	449	1150
281	450	1146
282	453	1148
283	454	1144
284	455	1141
285	456	1138
286	456	1134
287	457	1130
288	458	1126
289	458	1123
290	459	1119
291	460	1115
292	461	1113
293	462	1110
294	462	1106
295	463	1102
296	464	1098
297	464	1095
298	465	1091
299	468	1093
300	469	1090
301	470	1087
302	470	1083
303	471	1079
304	472	1076
305	473	1073
306	474	1070
307	474	1066
308	475	1063
309	476	1059
310	476	1056
311	477	1052
312	478	1049
313	478	1045
314	480	1045
315	481	1043
316	482	1040
317	483	1037
318	484	1033
319	485	1032
320	487	1030
321	488	1027
322	488	1024
323	489	1021
324	490	1018
325	490	1014
326	491	1011
327	492	1008
328	492	1005
329	493	1001
330	494	998
331	497	1000
332	497	997
333	498	994
334	499	991
335	500	988
336	501	986
337	503	985
338	503	982
339	504	979
340	505	976
341	506	973
342	506	970
343	507	967
344	508	964
345	509	962
346	511	961
347	511	959
348	513	958
349	514	956
350	515	953
351	516	951
352	517	948
353	517	945
354	518	942
355	519	939
356	520	937
357	521	934
358	523	935
359	524	933
360	526	931
361	528	930
362	529	928
363	529	925
364	530	923
365	531	921
366	532	918
367	534	918
368	536	916
369	539	919
370	541	917
371	545	920
372	546	919
373	548	917
374	549	916
375	550	913
376	551	910
377	553	911
378	554	908
379	555	906
380	556	904
381	557	901
382	558	900
383	560	898
384	561	896
385	562	894
386	562	891
387	563	889
388	564	886
389	564	883
390	565	880
391	566	878
392	569	878
393	569	876
394	571	874
395	572	872
396	572	870
397	574	868
398	575	866
399	576	864
400	576	861
401	577	858
402	577	856
403	578	853
404	579	850
405	579	848
406	580	845
407	580	842
408	583	843
409	584	840
410	585	839
411	586	837
412	587	835
413	588	833
414	590	831
415	591	829
416	591	827
417	592	825
418	593	823
419	594	821
420	595	819
421	599	821
422	600	819
423	601	817
424	602	815
425	603	813
426	604	811
427	605	809
428	606	807
429	607	805
430	608	803
431	609	801
432	610	799
433	614	801
434	615	799
435	617	798
436	618	796
437	619	795
438	620	793
439	622	791
440	623	789
441	623	787
442	624	785
443	625	783
444	629	785
445	630	783
446	631	781
447	633	780
448	634	778
449	635	776
450	636	774
451	637	772
452	638	770
453	638	768
454	639	766
455	641	764
456	642	763
457	643	761
458	644	759
459	645	757
460	646	755
461	647	753
462	648	751
463	649	749
464	650	748
465	651	746
466	652	744
467	653	742
468	654	740
469	656	740
470	657	738
471	658	736
472	659	734
473	660	732
474	661	730
475	662	728
476	662	726
477	663	724
478	664	723
479	665	721
480	666	719
481	668	718
482	670	717
483	671	715
484	672	713
485	673	712
486	674	710
487	675	708
488	676	706
489	677	705
490	678	703
491	679	701
492	680	699
493	681	698
494	682	696
495	683	694
496	685	694
497	686	692
498	687	690
499	688	688
500	689	687
501	690	685
502	691	683
503	692	681
504	693	679
505	695	678
506	696	676
507	697	675
508	697	673
509	700	672
510	701	671
511	702	669
512	703	667
513	704	666
514	705	664
515	706	662
516	707	660
517	709	660
518	710	658
519	711	656
520	712	655
521	715	655
522	716	653
523	717	652
524	718	650
525	720	648
526	721	647
527	722	645
528	723	644
529	725	643
530	726	642
531	729	641
532	730	640
533	731	638
534	733	637
535	733	635
536	734	633
537	735	631
538	736	629
539	737	628
540	738	626
541	739	624
542	740	622
543	740	621
544	741	619
545	742	617
546	743	615
547	744	613
548	744	611
549	745	609
550	746	608
551	747	606
552	748	605
553	750	603
554	751	602
555	752	600
556	753	599
557	755	598
558	757	597
559	759	597
560	761	595
561	762	594
562	762	592
563	763	590
564	764	588
565	765	586
566	765	584
567	766	583
568	767	581
569	768	579
570	769	577
571	769	576
572	772	575
573	773	573
574	774	572
575	775	570
576	776	569
577	777	567
578	778	565
579	779	564
580	779	562
581	780	560
582	781	558
583	782	557
584	782	555
585	783	553
586	784	551
587	786	551
588	787	549
589	787	547
590	788	545
591	789	544
592	790	542
593	791	541
594	792	539
595	793	537
596	794	536
597	795	534
598	795	532
599	796	531
600	797	529
601	798	527
602	798	525
603	799	524
604	801	523
605	802	521
606	803	519
607	803	518
608	805	516
609	806	515
610	806	513
611	807	512
612	808	510
613	809	508
614	810	507
615	810	505
616	811	503
617	812	502
618	813	500
619	814	499
620	816	498
621	817	496
622	818	495
623	820	494
624	820	492
625	822	491
626	823	489
627	826	489
628	827	487
629	827	486
630	828	484
631	829	482
632	829	481
633	831	480
634	832	478
635	833	476
636	834	475
637	834	473
638	835	471
639	837	470
640	838	469
641	839	467
642	839	466
643	840	464
644	841	462
645	841	461
646	842	459
647	843	458
648	844	456
649	844	454
650	847	454
651	882	471
652	884	470
653	886	468
654	887	467
655	889	466
656	890	465
657	893	464
658	896	463
659	898	462
660	898	461
661	899	459
662	900	457
663	901	456
664	903	455
665	904	453
666	905	452
667	906	450
668	910	450
669	914	450
670	915	448
671	954	465
672	958	465
673	960	464
674	961	463
675	963	461
676	965	460
677	967	459
678	968	457
679	970	456
680	979	458
681	981	457
682	983	456
683	1023	473
684	1025	471
685	1026	469
686	1027	468
687	1029	466
688	1030	465
689	1031	463
690	1032	461
691	1033	460
692	1034	458
693	1037	457
694	1038	455
695	1039	454
696	1041	452
697	1042	451
698	1044	449
699	1045	447
700	1046	446
701	1047	444
702	1048	442
703	1049	441
704	1052	440
705	1053	438
706	1057	438
707	1058	436
708	1059	434
709	1060	433
710	1061	431
711	1062	429
712	1063	428
713	1064	426
714	1065	424
715	1071	425
716	1072	423
717	1074	421
718	1075	420
719	1076	418
720	1077	416
721	1078	415
722	1079	413
723	1080	412
724	1084	411
725	1086	409
726	1087	408
727	1088	406
728	1088	404
729	1090	403
730	1091	401
731	1093	400
732	1094	398
733	1095	396
734	1097	395
735	1099	394
736	1100	392
